#Nom Machine;NomLogique;Répertoire SCF;Répertoire Serveur;Répertoire Client1;Répertoire Client 2
b11031N;SCF M1234;c$\program files\scf\scf v3;SCF Serveur;SCF Client;
b1m1086-scf;;c$\program files\scf\scf v3;;SCF Client 01;SCF Client 02
